"Anaheim Ducks" "2024-12-12" "Toronto Maple Leafs" "Away" "Loss" 2 3 -1 98.1 101.9 28 33 -5 7.1 9.1 25 34 -9 42.37 90.91 92.86 22 16 6 16 10 6
"Anaheim Ducks" "2024-12-11" "Ottawa Senators" "Away" "Loss" 1 5 -4 88.4 111.6 32 34 -2 3.1 14.7 19 35 -16 35.19 85.29 96.88 37 23 14 15 12 3
"Anaheim Ducks" "2024-12-09" "Montreal Canadiens" "Away" "SO Loss" 2 3 -1 97.4 102.6 29 21 8 6.9 9.5 28 28 0 50 90.48 93.1 30 21 9 11 17 -6
"Anaheim Ducks" "2024-12-06" "Minnesota Wild" "Home" "Loss" 1 5 -4 91.2 111.4 27 33 -6 3.7 15.2 23 32 -9 41.82 87.5 96.3 21 15 6 14 21 -7
"Anaheim Ducks" "2024-12-04" "Vegas Golden Knights" "Home" "Loss" 1 4 -3 95.6 107.1 20 33 -13 5 12.1 17 35 -18 32.69 90.63 95 17 11 6 14 17 -3
"Anaheim Ducks" "2024-12-01" "Ottawa Senators" "Home" "SO Win" 4 3 1 99.1 100.9 34 31 3 8.8 9.7 31 33 -2 48.44 90.32 91.18 32 22 10 17 19 -2
"Anaheim Ducks" "2024-11-29" "Los Angeles Kings" "Home" "Loss" 1 2 -1 92.1 107.9 31 18 13 3.2 11.1 25 28 -3 47.17 88.89 96.77 25 18 7 20 9 11
"Anaheim Ducks" "2024-11-27" "Seattle Kraken" "Away" "Win" 5 2 3 110.6 89.4 33 44 -11 15.2 4.5 27 44 -17 38.03 95.45 84.85 34 21 13 16 17 -1
"Anaheim Ducks" "2024-11-25" "Seattle Kraken" "Home" "Loss" 2 3 -1 98 102.4 23 27 -4 8.7 11.1 21 31 -10 40.38 89.29 91.3 32 15 17 17 13 4
"Anaheim Ducks" "2024-11-22" "Buffalo Sabres" "Home" "OT Loss" 2 3 -1 102.1 101 24 32 -8 8.3 9.4 16 31 -15 34.04 93.75 91.67 25 17 8 19 10 9
"Anaheim Ducks" "2024-11-19" "Chicago Blackhawks" "Away" "Win" 3 2 1 102.5 97.5 24 20 4 12.5 10 26 29 -3 47.27 90 87.5 27 13 14 14 15 -1
"Anaheim Ducks" "2024-11-18" "Dallas Stars" "Away" "Win" 4 2 2 109.3 90.7 27 36 -9 14.8 5.6 23 45 -22 33.82 94.44 85.19 29 13 16 21 12 9
"Anaheim Ducks" "2024-11-15" "Detroit Red Wings" "Home" "Win" 6 4 2 104.7 98.1 29 25 4 20.7 16 24 34 -10 41.38 84 82.14 23 11 12 15 12 3
"Anaheim Ducks" "2024-11-13" "Vegas Golden Knights" "Home" "Loss" 2 3 -1 100.6 99.4 24 39 -15 8.3 7.7 21 30 -9 41.18 92.31 91.67 20 19 1 16 17 -1
"Anaheim Ducks" "2024-11-10" "Columbus Blue Jackets" "Home" "Win" 4 2 2 108.3 94.7 30 40 -10 13.3 5 26 34 -8 43.33 95 89.66 20 18 2 21 16 5
"Anaheim Ducks" "2024-11-08" "Minnesota Wild" "Home" "Loss" 2 5 -3 89.6 110.4 35 31 4 5.7 16.1 20 28 -8 41.67 83.87 94.29 21 9 12 18 21 -3
"Anaheim Ducks" "2024-11-05" "Vancouver Canucks" "Home" "Loss" 1 5 -4 91 109 22 37 -15 4.5 13.5 29 34 -5 46.03 86.49 95.45 16 17 -1 19 7 12
"Anaheim Ducks" "2024-11-03" "Chicago Blackhawks" "Home" "Loss" 2 4 -2 91.2 108.8 40 29 11 5 13.8 27 26 1 50.94 86.21 95 19 9 10 7 26 -19
"Anaheim Ducks" "2024-10-31" "Pittsburgh Penguins" "Away" "OT Loss" 1 2 -1 99.9 100.1 23 45 -22 4.3 4.4 26 31 -5 45.61 95.56 95.65 27 17 10 26 13 13
"Anaheim Ducks" "2024-10-29" "New York Islanders" "Away" "Win" 3 1 2 111.2 92.9 22 41 -19 13.6 2.4 19 39 -20 32.76 97.56 90.48 22 16 6 25 14 11
"Anaheim Ducks" "2024-10-27" "New Jersey Devils" "Away" "Loss" 2 6 -4 90 110 26 34 -8 7.7 17.6 24 39 -15 38.1 82.35 92.31 20 24 -4 13 10 3
"Anaheim Ducks" "2024-10-26" "New York Rangers" "Away" "Loss" 1 2 -1 96.8 103.2 33 32 1 3 6.3 28 28 0 50 93.75 96.97 19 26 -7 18 15 3
"Anaheim Ducks" "2024-10-22" "San Jose Sharks" "Home" "Win" 3 1 2 103.9 98.4 40 28 12 7.5 3.6 32 39 -7 45.07 96.43 94.87 15 22 -7 25 15 10
"Anaheim Ducks" "2024-10-20" "Los Angeles Kings" "Home" "Loss" 1 4 -3 101.3 104 14 36 -22 7.1 11.1 20 33 -13 37.74 94.12 92.86 20 20 0 17 11 6
"Anaheim Ducks" "2024-10-18" "Colorado Avalanche" "Away" "OT Loss" 3 4 -1 107.6 92.4 19 49 -30 15.8 8.2 23 36 -13 38.98 91.84 84.21 21 16 5 27 19 8
"Anaheim Ducks" "2024-10-16" "Utah Hockey Club" "Home" "OT Win" 5 4 1 101.4 98.6 34 30 4 14.7 13.3 26 42 -16 38.24 86.67 85.29 19 9 10 19 20 -1
"Anaheim Ducks" "2024-10-13" "Vegas Golden Knights" "Away" "Loss" 1 3 -2 95 105 23 32 -9 4.3 9.4 20 23 -3 46.51 90.63 95.65 23 16 7 15 18 -3
"Anaheim Ducks" "2024-10-12" "San Jose Sharks" "Away" "Win" 2 0 2 106.7 96.6 30 30 0 6.7 0 26 31 -5 45.61 100 96.55 16 17 -1 18 10 8
"Anaheim Ducks" "2025-04-16" "Winnipeg Jets" "Away" "OT Loss" 1 2 -1 98.7 101.3 31 44 -13 3.2 4.5 26 23 3 53.06 95.45 96.77 33 13 20 16 14 2
"Anaheim Ducks" "2025-04-15" "Minnesota Wild" "Away" "OT Loss" 2 3 -1 99.4 100.6 29 40 -11 6.9 7.5 30 30 0 50 92.5 93.1 17 22 -5 14 16 -2
"Anaheim Ducks" "2025-04-13" "Colorado Avalanche" "Home" "Loss" 2 4 -2 97 106.5 21 25 -4 9.5 16 24 23 1 51.06 87.5 90.48 12 12 0 15 18 -3
"Anaheim Ducks" "2025-04-10" "Los Angeles Kings" "Away" "Loss" 1 6 -5 83.3 116.7 25 29 -4 4 20.7 25 34 -9 42.37 79.31 96 31 16 15 16 11 5
"Anaheim Ducks" "2025-04-09" "Calgary Flames" "Home" "OT Win" 4 3 1 109.7 90.3 23 39 -16 17.4 7.7 25 32 -7 43.86 92.31 82.61 16 8 8 11 16 -5
"Anaheim Ducks" "2025-04-07" "Edmonton Oilers" "Home" "Win" 3 2 1 110 90 21 47 -26 14.3 4.3 28 36 -8 43.75 95.74 85.71 10 16 -6 16 12 4
"Anaheim Ducks" "2025-04-05" "Vancouver Canucks" "Away" "Loss" 2 6 -4 83.2 116.8 32 26 6 6.3 23.1 32 25 7 56.14 76.92 93.75 31 31 0 5 9 -4
"Anaheim Ducks" "2025-04-03" "Calgary Flames" "Away" "Loss" 1 4 -3 91.9 108.1 27 34 -7 3.7 11.8 21 32 -11 39.62 88.24 96.3 28 14 14 23 14 9
"Anaheim Ducks" "2025-04-01" "San Jose Sharks" "Home" "SO Win" 4 3 1 98.4 101.6 37 31 6 8.1 9.7 25 24 1 51.02 90.32 91.89 24 16 8 13 15 -2
"Anaheim Ducks" "2025-03-30" "Toronto Maple Leafs" "Home" "Loss" 2 3 -1 93.4 106.6 31 23 8 6.5 13 23 35 -12 39.66 86.96 93.55 5 20 -15 9 22 -13
"Anaheim Ducks" "2025-03-28" "New York Rangers" "Home" "OT Win" 5 4 1 101.8 98.2 33 30 3 15.2 13.3 25 38 -13 39.68 86.67 84.85 18 22 -4 13 10 3
"Anaheim Ducks" "2025-03-26" "Boston Bruins" "Home" "Win" 6 2 4 108.2 91.8 37 25 12 16.2 8 29 33 -4 46.77 92 83.78 19 11 8 15 15 0
"Anaheim Ducks" "2025-03-23" "Carolina Hurricanes" "Home" "Loss" 2 5 -3 94.3 108.1 37 37 0 5.4 13.5 27 38 -11 41.54 88.89 94.59 24 9 15 16 8 8
"Anaheim Ducks" "2025-03-20" "Nashville Predators" "Away" "Win" 4 1 3 108.5 94.1 35 34 1 11.4 2.9 27 28 -1 49.09 97.06 91.18 17 17 0 33 15 18
"Anaheim Ducks" "2025-03-18" "Dallas Stars" "Away" "OT Loss" 3 4 -1 99.1 100.9 25 31 -6 12 12.9 25 35 -10 41.67 87.1 88 26 16 10 17 15 2
"Anaheim Ducks" "2025-03-16" "St. Louis Blues" "Away" "Loss" 2 7 -5 81.1 118.9 25 26 -1 8 26.9 24 24 0 50 73.08 92 18 25 -7 17 15 2
"Anaheim Ducks" "2025-03-14" "Nashville Predators" "Home" "Win" 2 1 1 109.9 90.1 15 29 -14 13.3 3.4 22 26 -4 45.83 96.55 86.67 22 11 11 23 8 15
"Anaheim Ducks" "2025-03-12" "Utah Hockey Club" "Away" "Loss" 2 3 -1 101.8 98.2 21 39 -18 9.5 7.7 28 36 -8 43.75 92.31 90.48 24 20 4 18 20 -2
"Anaheim Ducks" "2025-03-11" "Washington Capitals" "Home" "Loss" 4 7 -3 99.5 102.5 29 43 -14 13.8 16.3 29 29 0 50 85.71 86.21 22 9 13 18 17 1
"Anaheim Ducks" "2025-03-09" "New York Islanders" "Home" "Win" 4 1 3 111.2 92 28 32 -4 14.3 3.1 36 26 10 58.06 96.88 88.89 24 22 2 18 17 1
"Anaheim Ducks" "2025-03-07" "St. Louis Blues" "Home" "Loss" 3 4 -1 98.2 105.7 24 22 2 12.5 18.2 21 26 -5 44.68 85.71 87.5 29 17 12 13 23 -10
"Anaheim Ducks" "2025-03-05" "Vancouver Canucks" "Away" "Loss" 2 3 -1 104.2 95.8 16 36 -20 12.5 8.3 17 41 -24 29.31 91.67 87.5 20 26 -6 12 15 -3
"Anaheim Ducks" "2025-03-04" "Edmonton Oilers" "Away" "Win" 6 2 4 117.4 83.5 26 35 -9 23.1 5.7 25 32 -7 43.86 94.29 77.78 21 28 -7 15 11 4
"Anaheim Ducks" "2025-03-01" "Chicago Blackhawks" "Home" "Loss" 3 6 -3 84.7 115.3 31 24 7 9.7 25 32 21 11 60.38 75 90.32 27 12 15 10 16 -6
"Anaheim Ducks" "2025-02-27" "Vancouver Canucks" "Home" "Win" 5 2 3 111.7 91.7 25 24 1 20 8.3 27 22 5 55.1 91.67 83.33 15 19 -4 13 17 -4
"Anaheim Ducks" "2025-02-25" "Buffalo Sabres" "Away" "Loss" 2 3 -1 103 97 18 37 -19 11.1 8.1 29 38 -9 43.28 91.89 88.89 26 33 -7 18 11 7
"Anaheim Ducks" "2025-02-23" "Detroit Red Wings" "Away" "OT Loss" 4 5 -1 100.4 99.6 28 36 -8 14.3 13.9 30 35 -5 46.15 86.11 85.71 37 28 9 12 12 0
"Anaheim Ducks" "2025-02-22" "Boston Bruins" "Away" "OT Win" 3 2 1 103.7 96.3 29 30 -1 10.3 6.7 17 37 -20 31.48 93.33 89.66 16 25 -9 19 12 7
"Anaheim Ducks" "2025-02-08" "Los Angeles Kings" "Away" "SO Win" 2 1 1 101.6 98.4 26 45 -19 3.8 2.2 23 34 -11 40.35 97.78 96.15 18 14 4 15 21 -6
"Anaheim Ducks" "2025-02-04" "Dallas Stars" "Home" "Win" 2 1 1 103.4 96.6 28 27 1 7.1 3.7 27 34 -7 44.26 96.3 92.86 41 28 13 16 12 4
"Anaheim Ducks" "2025-02-02" "Montreal Canadiens" "Home" "Win" 3 2 1 104.9 95.1 22 23 -1 13.6 8.7 18 29 -11 38.3 91.3 86.36 23 11 12 14 20 -6
"Anaheim Ducks" "2025-01-30" "Calgary Flames" "Away" "Loss" 1 4 -3 92.9 110.1 31 30 1 3.2 13.3 24 36 -12 40 89.66 96.77 20 25 -5 17 25 -8
"Anaheim Ducks" "2025-01-28" "Seattle Kraken" "Away" "Win" 6 4 2 112.8 90.6 23 30 -7 26.1 13.3 24 36 -12 40 86.67 77.27 16 12 4 19 11 8
"Anaheim Ducks" "2025-01-25" "Nashville Predators" "Home" "Win" 5 2 3 109.6 90.4 35 43 -8 14.3 4.7 32 28 4 53.33 95.35 85.71 17 16 1 25 12 13
"Anaheim Ducks" "2025-01-23" "Pittsburgh Penguins" "Home" "Win" 5 1 4 111.6 91 34 32 2 14.7 3.1 26 35 -9 42.62 96.88 87.88 20 12 8 17 10 7
"Anaheim Ducks" "2025-01-21" "Florida Panthers" "Home" "Loss" 2 5 -3 89.4 110.6 30 29 1 6.7 17.2 25 34 -9 42.37 82.76 93.33 18 15 3 17 15 2
"Anaheim Ducks" "2025-01-18" "Florida Panthers" "Away" "Loss" 0 3 -3 95.5 106.7 34 45 -11 0 6.7 23 30 -7 43.4 95.45 100 14 21 -7 15 15 0
"Anaheim Ducks" "2025-01-16" "Tampa Bay Lightning" "Away" "SO Loss" 3 4 -1 99.5 100.5 37 35 2 8.1 8.6 32 26 6 55.17 91.43 91.89 24 12 12 12 12 0
"Anaheim Ducks" "2025-01-14" "Washington Capitals" "Away" "Loss" 0 3 -3 88 112 19 25 -6 0 12 20 23 -3 46.51 88 100 28 6 22 15 14 1
"Anaheim Ducks" "2025-01-12" "Carolina Hurricanes" "Away" "OT Win" 3 2 1 109.6 90.4 20 37 -17 15 5.4 27 40 -13 40.3 94.59 85 26 32 -6 28 8 20
"Anaheim Ducks" "2025-01-11" "Philadelphia Flyers" "Away" "Loss" 0 6 -6 80 120 22 30 -8 0 20 33 30 3 52.38 80 100 31 29 2 19 12 7
"Anaheim Ducks" "2025-01-09" "St. Louis Blues" "Away" "Loss" 2 6 -4 91 109 23 34 -11 8.7 17.6 24 28 -4 46.15 82.35 91.3 29 28 1 16 17 -1
"Anaheim Ducks" "2025-01-07" "Calgary Flames" "Home" "OT Loss" 2 3 -1 98.1 101.9 28 33 -5 7.1 9.1 30 25 5 54.55 90.91 92.86 24 12 12 14 10 4
"Anaheim Ducks" "2025-01-05" "Tampa Bay Lightning" "Home" "Win" 4 1 3 112.7 90.7 26 37 -11 15.4 2.7 30 29 1 50.85 97.3 88 31 26 5 24 11 13
"Anaheim Ducks" "2025-01-03" "Edmonton Oilers" "Away" "Loss" 2 3 -1 95.4 104.6 29 26 3 6.9 11.5 20 31 -11 39.22 88.46 93.1 14 3 11 12 14 -2
"Anaheim Ducks" "2025-01-02" "Winnipeg Jets" "Away" "OT Win" 4 3 1 106.7 93.3 24 30 -6 16.7 10 18 32 -14 36 90 83.33 44 26 18 22 9 13
"Anaheim Ducks" "2024-12-31" "New Jersey Devils" "Home" "Win" 3 2 1 105.7 94.3 26 34 -8 11.5 5.9 31 37 -6 45.59 94.12 88.46 18 25 -7 21 10 11
"Anaheim Ducks" "2024-12-29" "Edmonton Oilers" "Home" "Win" 5 3 2 102.6 100.1 32 23 9 15.6 13 27 18 9 60 86.96 87.1 26 13 13 13 14 -1
"Anaheim Ducks" "2024-12-28" "Philadelphia Flyers" "Home" "Loss" 1 3 -2 94.7 109 33 25 8 3 12 25 31 -6 44.64 91.67 96.97 18 15 3 16 16 0
"Anaheim Ducks" "2024-12-23" "Vegas Golden Knights" "Away" "Loss" 1 3 -2 94 106 32 33 -1 3.1 9.1 28 28 0 50 90.91 96.88 18 13 5 10 16 -6
"Anaheim Ducks" "2024-12-22" "Utah Hockey Club" "Away" "SO Win" 5 4 1 97.3 102.7 30 25 5 13.3 16 29 36 -7 44.62 84 86.67 19 13 6 20 25 -5
"Anaheim Ducks" "2024-12-20" "Colorado Avalanche" "Home" "Loss" 2 4 -2 92.6 111.1 32 23 9 6.3 17.4 28 25 3 52.83 86.36 93.75 27 17 10 12 22 -10
"Anaheim Ducks" "2024-12-18" "Winnipeg Jets" "Home" "Win" 3 2 1 101 99 31 23 8 9.7 8.7 31 31 0 50 91.3 90.32 27 12 15 17 21 -4
"Anaheim Ducks" "2024-12-14" "Columbus Blue Jackets" "Away" "OT Win" 4 3 1 107.7 92.3 27 42 -15 14.8 7.1 31 31 0 50 92.86 85.19 21 23 -2 23 16 7
"Anaheim Ducks" "2024-12-12" "Toronto Maple Leafs" "Away" "Loss" 2 3 -1 98.1 101.9 28 33 -5 7.1 9.1 25 34 -9 42.37 90.91 92.86 22 16 6 16 10 6
"Anaheim Ducks" "2024-12-11" "Ottawa Senators" "Away" "Loss" 1 5 -4 88.4 111.6 32 34 -2 3.1 14.7 19 35 -16 35.19 85.29 96.88 37 23 14 15 12 3
"Anaheim Ducks" "2024-12-09" "Montreal Canadiens" "Away" "SO Loss" 2 3 -1 97.4 102.6 29 21 8 6.9 9.5 28 28 0 50 90.48 93.1 30 21 9 11 17 -6
"Anaheim Ducks" "2024-12-06" "Minnesota Wild" "Home" "Loss" 1 5 -4 91.2 111.4 27 33 -6 3.7 15.2 23 32 -9 41.82 87.5 96.3 21 15 6 14 21 -7
"Anaheim Ducks" "2024-12-04" "Vegas Golden Knights" "Home" "Loss" 1 4 -3 95.6 107.1 20 33 -13 5 12.1 17 35 -18 32.69 90.63 95 17 11 6 14 17 -3
"Anaheim Ducks" "2024-12-01" "Ottawa Senators" "Home" "SO Win" 4 3 1 99.1 100.9 34 31 3 8.8 9.7 31 33 -2 48.44 90.32 91.18 32 22 10 17 19 -2
"Anaheim Ducks" "2024-11-29" "Los Angeles Kings" "Home" "Loss" 1 2 -1 92.1 107.9 31 18 13 3.2 11.1 25 28 -3 47.17 88.89 96.77 25 18 7 20 9 11
"Anaheim Ducks" "2024-11-27" "Seattle Kraken" "Away" "Win" 5 2 3 110.6 89.4 33 44 -11 15.2 4.5 27 44 -17 38.03 95.45 84.85 34 21 13 16 17 -1
"Anaheim Ducks" "2024-11-25" "Seattle Kraken" "Home" "Loss" 2 3 -1 98 102.4 23 27 -4 8.7 11.1 21 31 -10 40.38 89.29 91.3 32 15 17 17 13 4
"Anaheim Ducks" "2024-11-22" "Buffalo Sabres" "Home" "OT Loss" 2 3 -1 102.1 101 24 32 -8 8.3 9.4 16 31 -15 34.04 93.75 91.67 25 17 8 19 10 9
"Anaheim Ducks" "2024-11-19" "Chicago Blackhawks" "Away" "Win" 3 2 1 102.5 97.5 24 20 4 12.5 10 26 29 -3 47.27 90 87.5 27 13 14 14 15 -1
"Anaheim Ducks" "2024-11-18" "Dallas Stars" "Away" "Win" 4 2 2 109.3 90.7 27 36 -9 14.8 5.6 23 45 -22 33.82 94.44 85.19 29 13 16 21 12 9
"Anaheim Ducks" "2024-11-15" "Detroit Red Wings" "Home" "Win" 6 4 2 104.7 98.1 29 25 4 20.7 16 24 34 -10 41.38 84 82.14 23 11 12 15 12 3
"Anaheim Ducks" "2024-11-13" "Vegas Golden Knights" "Home" "Loss" 2 3 -1 100.6 99.4 24 39 -15 8.3 7.7 21 30 -9 41.18 92.31 91.67 20 19 1 16 17 -1
"Anaheim Ducks" "2024-11-10" "Columbus Blue Jackets" "Home" "Win" 4 2 2 108.3 94.7 30 40 -10 13.3 5 26 34 -8 43.33 95 89.66 20 18 2 21 16 5
"Anaheim Ducks" "2024-11-08" "Minnesota Wild" "Home" "Loss" 2 5 -3 89.6 110.4 35 31 4 5.7 16.1 20 28 -8 41.67 83.87 94.29 21 9 12 18 21 -3
"Anaheim Ducks" "2024-11-05" "Vancouver Canucks" "Home" "Loss" 1 5 -4 91 109 22 37 -15 4.5 13.5 29 34 -5 46.03 86.49 95.45 16 17 -1 19 7 12
"Anaheim Ducks" "2024-11-03" "Chicago Blackhawks" "Home" "Loss" 2 4 -2 91.2 108.8 40 29 11 5 13.8 27 26 1 50.94 86.21 95 19 9 10 7 26 -19
"Anaheim Ducks" "2024-10-31" "Pittsburgh Penguins" "Away" "OT Loss" 1 2 -1 99.9 100.1 23 45 -22 4.3 4.4 26 31 -5 45.61 95.56 95.65 27 17 10 26 13 13
"Anaheim Ducks" "2024-10-29" "New York Islanders" "Away" "Win" 3 1 2 111.2 92.9 22 41 -19 13.6 2.4 19 39 -20 32.76 97.56 90.48 22 16 6 25 14 11
"Anaheim Ducks" "2024-10-27" "New Jersey Devils" "Away" "Loss" 2 6 -4 90 110 26 34 -8 7.7 17.6 24 39 -15 38.1 82.35 92.31 20 24 -4 13 10 3
"Anaheim Ducks" "2024-10-26" "New York Rangers" "Away" "Loss" 1 2 -1 96.8 103.2 33 32 1 3 6.3 28 28 0 50 93.75 96.97 19 26 -7 18 15 3
"Anaheim Ducks" "2024-10-22" "San Jose Sharks" "Home" "Win" 3 1 2 103.9 98.4 40 28 12 7.5 3.6 32 39 -7 45.07 96.43 94.87 15 22 -7 25 15 10
"Anaheim Ducks" "2024-10-20" "Los Angeles Kings" "Home" "Loss" 1 4 -3 101.3 104 14 36 -22 7.1 11.1 20 33 -13 37.74 94.12 92.86 20 20 0 17 11 6
"Anaheim Ducks" "2024-10-18" "Colorado Avalanche" "Away" "OT Loss" 3 4 -1 107.6 92.4 19 49 -30 15.8 8.2 23 36 -13 38.98 91.84 84.21 21 16 5 27 19 8
"Anaheim Ducks" "2024-10-16" "Utah Hockey Club" "Home" "OT Win" 5 4 1 101.4 98.6 34 30 4 14.7 13.3 26 42 -16 38.24 86.67 85.29 19 9 10 19 20 -1
"Anaheim Ducks" "2024-10-13" "Vegas Golden Knights" "Away" "Loss" 1 3 -2 95 105 23 32 -9 4.3 9.4 20 23 -3 46.51 90.63 95.65 23 16 7 15 18 -3
"Anaheim Ducks" "2024-10-12" "San Jose Sharks" "Away" "Win" 2 0 2 106.7 96.6 30 30 0 6.7 0 26 31 -5 45.61 100 96.55 16 17 -1 18 10 8
"Anaheim Ducks" "2025-04-16" "Winnipeg Jets" "Away" "OT Loss" 1 2 -1 98.7 101.3 31 44 -13 3.2 4.5 26 23 3 53.06 95.45 96.77 33 13 20 16 14 2
"Anaheim Ducks" "2025-04-15" "Minnesota Wild" "Away" "OT Loss" 2 3 -1 99.4 100.6 29 40 -11 6.9 7.5 30 30 0 50 92.5 93.1 17 22 -5 14 16 -2
"Anaheim Ducks" "2025-04-13" "Colorado Avalanche" "Home" "Loss" 2 4 -2 97 106.5 21 25 -4 9.5 16 24 23 1 51.06 87.5 90.48 12 12 0 15 18 -3
"Anaheim Ducks" "2025-04-10" "Los Angeles Kings" "Away" "Loss" 1 6 -5 83.3 116.7 25 29 -4 4 20.7 25 34 -9 42.37 79.31 96 31 16 15 16 11 5
"Anaheim Ducks" "2025-04-09" "Calgary Flames" "Home" "OT Win" 4 3 1 109.7 90.3 23 39 -16 17.4 7.7 25 32 -7 43.86 92.31 82.61 16 8 8 11 16 -5
"Anaheim Ducks" "2025-04-07" "Edmonton Oilers" "Home" "Win" 3 2 1 110 90 21 47 -26 14.3 4.3 28 36 -8 43.75 95.74 85.71 10 16 -6 16 12 4
"Anaheim Ducks" "2025-04-05" "Vancouver Canucks" "Away" "Loss" 2 6 -4 83.2 116.8 32 26 6 6.3 23.1 32 25 7 56.14 76.92 93.75 31 31 0 5 9 -4
"Anaheim Ducks" "2025-04-03" "Calgary Flames" "Away" "Loss" 1 4 -3 91.9 108.1 27 34 -7 3.7 11.8 21 32 -11 39.62 88.24 96.3 28 14 14 23 14 9
"Anaheim Ducks" "2025-04-01" "San Jose Sharks" "Home" "SO Win" 4 3 1 98.4 101.6 37 31 6 8.1 9.7 25 24 1 51.02 90.32 91.89 24 16 8 13 15 -2
"Anaheim Ducks" "2025-03-30" "Toronto Maple Leafs" "Home" "Loss" 2 3 -1 93.4 106.6 31 23 8 6.5 13 23 35 -12 39.66 86.96 93.55 5 20 -15 9 22 -13
"Anaheim Ducks" "2025-03-28" "New York Rangers" "Home" "OT Win" 5 4 1 101.8 98.2 33 30 3 15.2 13.3 25 38 -13 39.68 86.67 84.85 18 22 -4 13 10 3
"Anaheim Ducks" "2025-03-26" "Boston Bruins" "Home" "Win" 6 2 4 108.2 91.8 37 25 12 16.2 8 29 33 -4 46.77 92 83.78 19 11 8 15 15 0
"Anaheim Ducks" "2025-03-23" "Carolina Hurricanes" "Home" "Loss" 2 5 -3 94.3 108.1 37 37 0 5.4 13.5 27 38 -11 41.54 88.89 94.59 24 9 15 16 8 8
"Anaheim Ducks" "2025-03-20" "Nashville Predators" "Away" "Win" 4 1 3 108.5 94.1 35 34 1 11.4 2.9 27 28 -1 49.09 97.06 91.18 17 17 0 33 15 18
"Anaheim Ducks" "2025-03-18" "Dallas Stars" "Away" "OT Loss" 3 4 -1 99.1 100.9 25 31 -6 12 12.9 25 35 -10 41.67 87.1 88 26 16 10 17 15 2
"Anaheim Ducks" "2025-03-16" "St. Louis Blues" "Away" "Loss" 2 7 -5 81.1 118.9 25 26 -1 8 26.9 24 24 0 50 73.08 92 18 25 -7 17 15 2
"Anaheim Ducks" "2025-03-14" "Nashville Predators" "Home" "Win" 2 1 1 109.9 90.1 15 29 -14 13.3 3.4 22 26 -4 45.83 96.55 86.67 22 11 11 23 8 15
"Anaheim Ducks" "2025-03-12" "Utah Hockey Club" "Away" "Loss" 2 3 -1 101.8 98.2 21 39 -18 9.5 7.7 28 36 -8 43.75 92.31 90.48 24 20 4 18 20 -2
"Anaheim Ducks" "2025-03-11" "Washington Capitals" "Home" "Loss" 4 7 -3 99.5 102.5 29 43 -14 13.8 16.3 29 29 0 50 85.71 86.21 22 9 13 18 17 1
"Anaheim Ducks" "2025-03-09" "New York Islanders" "Home" "Win" 4 1 3 111.2 92 28 32 -4 14.3 3.1 36 26 10 58.06 96.88 88.89 24 22 2 18 17 1
"Anaheim Ducks" "2025-03-07" "St. Louis Blues" "Home" "Loss" 3 4 -1 98.2 105.7 24 22 2 12.5 18.2 21 26 -5 44.68 85.71 87.5 29 17 12 13 23 -10
"Anaheim Ducks" "2025-03-05" "Vancouver Canucks" "Away" "Loss" 2 3 -1 104.2 95.8 16 36 -20 12.5 8.3 17 41 -24 29.31 91.67 87.5 20 26 -6 12 15 -3
"Anaheim Ducks" "2025-03-04" "Edmonton Oilers" "Away" "Win" 6 2 4 117.4 83.5 26 35 -9 23.1 5.7 25 32 -7 43.86 94.29 77.78 21 28 -7 15 11 4
"Anaheim Ducks" "2025-03-01" "Chicago Blackhawks" "Home" "Loss" 3 6 -3 84.7 115.3 31 24 7 9.7 25 32 21 11 60.38 75 90.32 27 12 15 10 16 -6
"Anaheim Ducks" "2025-02-27" "Vancouver Canucks" "Home" "Win" 5 2 3 111.7 91.7 25 24 1 20 8.3 27 22 5 55.1 91.67 83.33 15 19 -4 13 17 -4
"Anaheim Ducks" "2025-02-25" "Buffalo Sabres" "Away" "Loss" 2 3 -1 103 97 18 37 -19 11.1 8.1 29 38 -9 43.28 91.89 88.89 26 33 -7 18 11 7
"Anaheim Ducks" "2025-02-23" "Detroit Red Wings" "Away" "OT Loss" 4 5 -1 100.4 99.6 28 36 -8 14.3 13.9 30 35 -5 46.15 86.11 85.71 37 28 9 12 12 0
"Anaheim Ducks" "2025-02-22" "Boston Bruins" "Away" "OT Win" 3 2 1 103.7 96.3 29 30 -1 10.3 6.7 17 37 -20 31.48 93.33 89.66 16 25 -9 19 12 7
"Anaheim Ducks" "2025-02-08" "Los Angeles Kings" "Away" "SO Win" 2 1 1 101.6 98.4 26 45 -19 3.8 2.2 23 34 -11 40.35 97.78 96.15 18 14 4 15 21 -6
"Anaheim Ducks" "2025-02-04" "Dallas Stars" "Home" "Win" 2 1 1 103.4 96.6 28 27 1 7.1 3.7 27 34 -7 44.26 96.3 92.86 41 28 13 16 12 4
"Anaheim Ducks" "2025-02-02" "Montreal Canadiens" "Home" "Win" 3 2 1 104.9 95.1 22 23 -1 13.6 8.7 18 29 -11 38.3 91.3 86.36 23 11 12 14 20 -6
"Anaheim Ducks" "2025-01-30" "Calgary Flames" "Away" "Loss" 1 4 -3 92.9 110.1 31 30 1 3.2 13.3 24 36 -12 40 89.66 96.77 20 25 -5 17 25 -8
